RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,528,1719504232,124542065,129,2583808791,132,"[6.658970355987549, 5.553408622741699, 2.754408121109009]","[0.8757306933403015, 0.4489724040031433, 2.4388020038604736]","[1.5745344161987305, 1.6161222457885742, -2.2132697105407715]","[9.380374908447266, 6.1235032081604, 15.902334213256836]","[-1, 1, 1]"
479103,0,528,1719504235,717425025,2892,2584131109,132,[],[],[],[],[]
479103,0,528,1719504244,156312785,1237,2617548141,132,"[9.973920822143555, 2.970649242401123]","[0.8413779139518738, -1.7519729137420654]","[2.4652607440948486, 0.16465400159358978]","[13.717924118041992, 8.8225679397583]","[-1, -1]"
479103,0,528,1719504245,315681100,95,2617652739,132,"[19.65488052368164, 2.598348379135132, 1.7094168663024902]","[1.338549256324768, -1.115323543548584, 2.3692240715026855]","[0.15925835072994232, 0.4250847399234772, -1.5502731800079346]","[40.054161071777344, 4.390355110168457, 9.216626167297363]","[-1, 1, -1]"
479103,0,528,1719504246,148073335,2480,2634055870,136,"[26.02006721496582, 3.76969051361084, 2.6044528484344482, 4.5008769035339355]","[-1.726036548614502, 1.5228506326675415, 2.2738730907440186, -0.005344817880541086]","[-0.4017387330532074, -1.3126572370529175, 1.2844223976135254, 1.0966342687606812]","[75.4105224609375, 9.054219245910645, 12.788138389587402, 4.502181053161621]","[1, 1, 1, 1]"
479103,0,528,1719504259,637033880,2990,2667925453,129,[],[],[],[],[]
479103,0,529,1719504265,270192335,1917,2684756644,136,"[51.79527282714844, 27.610082626342773, 6.436395645141602, 3.5398452281951904]","[0.9948808550834656, 2.3149962425231934, -0.7861276865005493, 2.1557998657226562]","[1.687872052192688, -1.3316236734390259, 1.2893428802490234, 0.6229844093322754]","[79.61380004882812, 141.13796997070312, 8.53044319152832, 15.488253593444824]","[1, -1, -1, -1]"
479103,0,530,1719504288,658476735,1977,2768505224,156,"[6.0083513259887695, 3.3040599822998047, 3.3057444095611572]","[-1.0656219720840454, -1.9670202732086182, -1.4045838117599487]","[0.10809104144573212, 2.156543016433716, -1.6589635610580444]","[9.755603790283203, 12.042465209960938, 7.140032768249512]","[1, 1, 1]"
479103,0,530,1719504296,840556165,540,2801898504,132,[],[],[],[],[]
479103,0,530,1719504299,864858370,3387,2802168343,140,"[6.3672709465026855, 4.985712051391602, 3.406768798828125, 3.30521559715271, 2.582719564437866]","[-0.10485071688890457, -1.5050371885299683, 0.7245168685913086, 2.3933963775634766, 1.7143261432647705]","[-1.6751620769500732, -2.5999958515167236, 1.0131596326828003, -1.404513955116272, -2.537801504135132]","[6.403174877166748, 11.782533645629883, 4.342007160186768, 18.248306274414062, 7.404141902923584]","[-1, 1, -1, -1, -1]"
